Classificação,Time,Pontos,Jogos,Vitórias,Empates,Derrotas,Gols Prós,Gols Contras,Saldos de Gols,Cartões Amarelos,Cartões Vermelhos,Aproveitamento,Ano
1,Atlético Mineiro Saf,84,38,26,6,6,67,34,33,82,4,73,2021
2,Flamengo,71,38,21,8,9,69,36,33,82,4,62,2021
3,Palmeiras,66,38,20,6,12,58,43,15,87,11,57,2021
4,Fortaleza Ec Saf,58,38,17,7,14,44,45,-1,95,7,50,2021
5,Corinthians,57,38,15,12,11,40,36,4,61,3,50,2021
6,Red Bull Bragantino,56,38,14,14,10,55,46,9,95,3,49,2021
7,Fluminense,54,38,15,9,14,38,38,0,91,4,47,2021
8,America Saf,53,38,13,14,11,41,37,4,66,2,46,2021
9,Atlético Goianiense Saf,53,38,13,14,11,33,36,-3,98,7,46,2021
10,Santos Fc,50,38,12,14,12,35,40,-5,103,4,43,2021
11,Ceará,50,38,11,17,10,39,38,1,90,5,43,2021
12,Internacional,48,38,12,12,14,44,42,2,106,11,42,2021
13,São Paulo,48,38,11,15,12,31,39,-8,100,7,42,2021
14,Athletico Paranaense,47,38,13,8,17,41,45,-4,90,6,41,2021
15,Cuiabá Saf,47,38,10,17,11,34,37,-3,84,7,41,2021
16,Juventude,46,38,11,13,14,36,44,-8,93,4,40,2021
17,Grêmio,43,38,12,7,19,44,51,-7,110,7,37,2021
18,Bahia,43,38,11,10,17,42,51,-9,94,5,37,2021
19,Sport Recife,38,38,9,11,18,24,37,-13,94,5,33,2021
20,Chapecoense,15,38,1,12,25,27,67,-40,82,10,13,2021
1,Palmeiras,81,38,23,12,3,66,27,39,85,6,71,2022
2,Internacional,73,38,20,13,5,58,31,27,94,5,64,2022
3,Fluminense,70,38,21,7,10,63,41,22,85,11,61,2022
4,Corinthians,65,38,18,11,9,44,36,8,84,6,57,2022
5,Flamengo,62,38,18,8,12,60,39,21,84,4,54,2022
6,Athletico Paranaense,58,38,16,10,12,48,48,0,95,4,50,2022
7,Atlético Mineiro Saf,58,38,15,13,10,45,37,8,93,3,50,2022
8,Fortaleza Ec Saf,55,38,15,10,13,46,39,7,88,8,48,2022
9,São Paulo,54,38,13,15,10,55,42,13,102,9,47,2022
10,America Saf,53,38,15,8,15,40,40,0,88,5,46,2022
11,Botafogo,53,38,15,8,15,41,43,-2,98,6,46,2022
12,Santos Fc,47,38,12,11,15,44,41,3,102,7,41,2022
13,Goiás,46,38,11,13,14,40,53,-13,117,8,40,2022
14,Red Bull Bragantino,44,38,11,11,16,49,59,-10,93,7,38,2022
15,Coritiba S.a.f.,42,38,12,6,20,39,60,-21,113,12,36,2022
16,Cuiabá Saf,41,38,10,11,17,31,42,-11,82,11,35,2022
17,Ceará,37,38,7,16,15,34,41,-7,127,10,32,2022
18,Atlético Goianiense Saf,36,38,8,12,18,39,57,-18,104,9,31,2022
19,Avaí,35,38,9,8,21,34,60,-26,102,4,30,2022
20,Juventude,22,38,3,13,22,29,69,-40,112,8,19,2022
1,Palmeiras,70,38,20,10,8,64,33,31,101,7,61,2023
2,Grêmio,68,38,21,5,12,63,56,7,98,6,59,2023
3,Atlético Mineiro Saf,66,38,19,9,10,52,32,20,114,7,57,2023
4,Flamengo,66,38,19,9,10,56,42,14,89,5,57,2023
5,Botafogo,64,38,18,10,10,58,37,21,96,8,56,2023
6,Red Bull Bragantino,62,38,17,11,10,49,35,14,110,7,54,2023
7,Fluminense,56,38,16,8,14,51,47,4,130,12,49,2023
8,Athletico Paranaense,56,38,14,14,10,51,43,8,112,4,49,2023
9,Internacional,55,38,15,10,13,46,45,1,114,6,48,2023
10,Fortaleza Ec Saf,54,38,15,9,14,45,44,1,100,2,47,2023
11,São Paulo,53,38,14,11,13,40,38,2,107,7,46,2023
12,Cuiabá Saf,51,38,14,9,15,40,39,1,102,4,44,2023
13,Corinthians,50,38,12,14,12,47,48,-1,95,3,43,2023
14,Cruzeiro Saf,47,38,11,14,13,35,32,3,101,6,41,2023
15,Vasco da Gama Saf,45,38,12,9,17,41,51,-10,103,8,39,2023
16,Bahia,44,38,12,8,18,50,53,-3,96,8,38,2023
17,Santos Fc,43,38,11,10,17,39,64,-25,103,9,37,2023
18,Goiás,38,38,9,11,18,36,53,-17,108,8,33,2023
19,Coritiba S.a.f.,30,38,8,6,24,41,73,-32,68,6,26,2023
20,America Saf,24,38,5,9,24,42,81,-39,86,11,21,2023
1,Botafogo,79,38,23,10,5,59,29,30,107,7,69,2024
2,Palmeiras,73,38,22,7,9,60,33,27,106,8,64,2024
3,Flamengo,70,38,20,10,8,61,42,19,76,4,61,2024
4,Fortaleza Ec Saf,68,38,19,11,8,53,39,14,107,10,59,2024
5,Internacional,65,38,18,11,9,53,36,17,103,6,57,2024
6,São Paulo,59,38,17,8,13,53,43,10,111,8,51,2024
7,Corinthians,56,38,15,11,12,54,45,9,116,10,49,2024
8,Bahia,53,38,15,8,15,49,49,0,86,1,46,2024
9,Cruzeiro Saf,52,38,14,10,14,43,41,2,100,8,45,2024
10,Vasco da Gama Saf,50,38,14,8,16,43,56,-13,94,7,43,2024
11,Vitória,47,38,13,8,17,45,52,-7,110,7,41,2024
12,Atlético Mineiro Saf,47,38,11,14,13,47,54,-7,110,13,41,2024
13,Fluminense,46,38,12,10,16,33,39,-6,118,13,40,2024
14,Grêmio,45,38,12,9,17,44,50,-6,93,8,39,2024
15,Juventude,45,38,11,12,15,48,59,-11,106,14,39,2024
16,Red Bull Bragantino,44,38,10,14,14,44,48,-4,109,7,38,2024
17,Athletico Paranaense,42,38,11,9,18,40,46,-6,98,10,36,2024
18,Criciúma,38,38,9,11,18,42,61,-19,97,6,33,2024
19,Atlético Goianiense Saf,30,38,7,9,22,29,58,-29,105,14,26,2024
20,Cuiabá Saf,30,38,6,12,20,29,49,-20,118,2,26,2024
1,Flamengo,79,38,23,10,5,78,27,51,78,5,69,2025
2,Palmeiras,76,38,23,7,8,66,33,33,86,8,66,2025
3,Cruzeiro Saf,70,38,19,13,6,55,31,24,106,5,61,2025
4,Mirassol,67,38,18,13,7,63,39,24,93,3,58,2025
5,Fluminense,64,38,19,7,12,50,39,11,82,5,56,2025
6,Botafogo,63,38,17,12,9,58,38,20,94,6,55,2025
7,Bahia,60,38,17,9,12,50,46,4,86,6,52,2025
8,São Paulo,51,38,14,9,15,43,47,-4,102,6,44,2025
9,Grêmio,49,38,13,10,15,47,50,-3,111,6,42,2025
10,Red Bull Bragantino,48,38,14,6,18,45,57,-12,114,4,42,2025
11,Atlético Mineiro Saf,48,38,12,12,14,43,44,-1,96,9,42,2025
12,Santos Fc,47,38,12,11,15,45,50,-5,92,4,41,2025
13,Corinthians,47,38,12,11,15,42,47,-5,110,9,41,2025
14,Vasco da Gama Saf,45,38,13,6,19,55,60,-5,79,6,39,2025
15,Vitória,45,38,11,12,15,35,52,-17,109,9,39,2025
16,Internacional,44,38,11,11,16,44,57,-13,90,7,38,2025
17,Ceará,43,38,11,10,17,34,40,-6,89,4,37,2025
18,Fortaleza Ec Saf,43,38,11,10,17,43,58,-15,108,10,37,2025
19,Juventude,35,38,9,8,21,35,69,-34,110,7,30,2025
20,Sport Recife,17,38,2,11,25,28,75,-47,98,4,14,2025
